depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,BRCA1,ROS1,RAD51,MLH1,KEAP1,PGR,PALB2,ABCB1,ESR1,MSH2,SOX10,CCNE1,CDK6,MET,GATA3,RAD51C,AREG,CCND1,VEGFA,STK11,PIK3CA,EREG,FOXA1,TOP2A,KRAS,APC,CDK4,MDM2,MYC,BRCA2,RB1,TP53,SMAD4,ERBB2,AKT1,EGFR,CDKN2A,MKI67,ATM,KIT,BRAF,RET,CTNNB1,ALK,PTEN,HRAS,CHEK2,RAD51D,MITF,NF1,MTOR,TOP1,NRAS
ACH-001270,127399,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,,4.0788402557,0.0,4.5908713341,5.6529107094,5.8466238976,0.0034540021,3.9305858612,0.4106623828,0.0443899222,6.0899238586,0.0,4.5471782684,3.3374769688,3.6684935093,0.8347629905,6.4601840973,2.045596838,7.5166139603,4.1937007904,4.6710953712,3.1476502419,1.4657185078,0.0158786029,6.9347524643,4.706817627,3.1533417702,8.5024223328,4.5155358315,6.8925247192,2.7834398746,5.1810984612,6.0641651154,3.578854084,4.2971324921,5.6792297363,4.7332458496,8.1635141373,5.0823321342,3.9599370956,2.3404569626,3.0368919373,0.5044658184,7.1014714241,0.0,4.6520619392,5.034453392,4.7599067688,3.5154852867,4.6988797188,3.3679873943,4.7365293503,5.8155961037,6.3588356972
ACH-002680,170MGBA,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",,,2.7522647381,0.323962599,2.5106379986,5.481470108,5.0584592819,0.0,3.2320697308,0.1315842122,0.3297516406,4.7450761795,0.0,2.3183197975,4.9859375954,5.9190731049,0.1219198704,4.5942978859,0.0651366115,4.673579216,7.0407280922,3.5724167824,4.4307003021,0.2318698168,0.0,5.1906504631,4.6970510483,3.763655901,7.7684092522,4.1223163605,5.188472271,1.375890255,5.2178783417,6.0931715965,6.2249412537,3.5259435177,6.6320719719,8.9993486404,0.0,3.2336885929,4.4024219513,2.185590744,4.0914373398,0.0725160763,8.2544755936,0.3857049048,5.0634250641,5.2866816521,3.5933656693,2.852991581,2.8665578365,3.9394805431,4.1946229935,5.5744800568,6.2059965134
ACH-001438,1777NRPMET,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,,,4.2100615501,0.0,4.2642960548,5.0478787422,5.3435535431,0.0035806501,3.1478276253,0.0,0.070339866,5.8477416039,0.0,3.8602178097,3.8960585594,4.7445487976,2.176753521,6.3927021027,0.0,5.6373667717,4.3363332748,4.7129092216,3.1000020504,0.0,0.3690744638,6.9979696274,4.9259281158,2.494535923,8.527844429,6.3223967552,3.1832642555,2.9690711498,3.9026620388,5.7487778664,5.1304945946,4.699640274,5.758348465,3.7234930992,3.3750226498,4.8837037086,4.1484136581,4.1103463173,3.0702724457,0.0,7.0903134346,0.004889654,5.0089392662,5.3615088463,4.6369495392,4.0945653915,4.5683059692,4.5572752953,4.5708394051,6.3455648422,5.1542143822
ACH-002400,21MT1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,3.0193655491,1.8803994656,3.4238040447,4.4042081833,4.73960495,0.0,2.9864928722,0.0217454992,2.2562980652,3.339867115,0.0152634764,2.9772176743,4.556306839,5.5034823418,2.4838337898,4.862154007,7.2648272514,5.3670182228,6.938803196,3.6014232635,3.6735563278,7.4721221924,5.1036067009,6.1877279282,4.4446005821,2.1519236565,6.7316856384,4.5100188255,7.0877809525,2.3427567482,4.0712051392,4.1382985115,4.6719894409,8.9371118546,5.3748202324,4.8862819672,4.9205932617,3.7418875694,2.8356976509,0.3529765606,1.8938281536,0.2154947221,6.7287230492,0.0322842561,4.8785586357,3.6817302704,4.8963832855,1.6108701229,2.317584753,4.5887446404,3.6386299133,6.8736777306,5.4735174179
ACH-002401,21MT2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,2.4311146736,1.1358959675,3.1423594952,4.1776704788,4.7590546608,0.0,3.2934794426,0.0614789873,2.9445362091,3.6935651302,0.0133093167,2.2143268585,5.7629494667,6.4221625328,1.597745657,4.9011659622,7.4021167755,7.0927782059,6.9993348122,4.4347748756,3.5487570763,6.4150133133,4.5412607193,4.5032534599,4.3642501831,2.2623851299,6.97463274,4.6399788857,7.3287196159,1.452031374,4.0460371971,3.9996483326,4.947221756,8.795422554,5.4906983376,6.2992668152,6.0418691635,2.7591133118,3.3050496578,0.0,1.7794235945,0.0238003861,7.8293104172,0.0053166221,5.2016377449,4.570432663,3.364084959,1.9587609768,1.4313982725,5.343556881,3.4426596165,5.7040171623,5.0219726562
ACH-002399,21NT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,3.3132791519,2.3580219746,4.1157741547,5.2792930603,5.260740757,0.0,3.3661892414,0.1708018929,2.7956588268,5.3613228798,0.0,2.7030785084,5.5974030495,7.5715174675,1.713291049,5.2556066513,6.4539999962,7.0248074532,6.2950615883,4.3277521133,4.4011869431,5.6672306061,5.392993927,5.8749175072,4.1937479973,2.6770098209,7.5175514221,4.3994584084,6.3258128166,2.1680643559,4.930794239,4.3158779144,5.1061639786,9.4793863297,6.0390067101,5.3558831215,6.0503277779,4.1529216766,2.418035984,0.0491999872,1.9973357916,0.0054330449,7.3821396828,0.1071937233,5.2013788223,4.7593154907,3.3035264015,2.6785180569,3.8953704834,4.4672470093,3.951941967,5.8112397194,5.792181015
ACH-003587,531MII,Bone,Osteosarcoma,Osteosarcoma,,,3.52556777,4.1886143684,4.0730919838,5.1693077087,5.576924324,0.491253823,2.6877439022,1.3563579321,0.0599823408,5.1674904823,0.0,4.4825387001,6.4960947037,6.7489037514,2.0915677547,6.1272740364,0.2302583605,5.6965613365,5.0579743385,4.2180218697,3.7737748623,0.0,0.0449773744,7.5094981194,4.7756142616,3.2908358574,8.4635648727,4.4006743431,7.0909276009,2.6487324238,1.0421119928,0.5371469259,5.4355287552,4.8673233986,7.0064888,3.2867555618,7.3654475212,2.9583582878,3.6699225903,1.6399822235,3.3591794968,0.1276768595,7.3928585052,0.0590257198,4.3808817863,5.1973543167,3.2647149563,3.4005446434,3.4571175575,4.3913760185,4.9497823715,3.6873407364,6.88139534
ACH-000520,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,,,3.0869925022,1.8116395473,2.8170399666,4.783372879,5.8185157776,0.0375635587,2.4156424999,0.3518951237,0.1065747887,4.7404527664,0.0468807556,2.2735517025,3.231679678,4.9564285278,0.3399867713,5.5152897835,0.7959938049,6.2992210388,5.2397875786,4.7994346619,3.296589613,0.2844276726,1.2576020956,6.3525624275,4.5609107018,2.9445230961,7.1828708649,3.6457476616,6.5424313545,1.22277987,5.1754689217,2.6205534935,3.9830482006,4.5437927246,5.7816405296,4.5518727303,2.8942298889,4.2118067741,3.764197588,1.4603704214,3.0364260674,0.2320049554,7.7304768562,0.0217952374,5.7169361115,4.7314224243,4.1344180107,2.4946510792,1.3840000629,4.3745594025,4.4197072983,4.8809890747,5.6676368713
ACH-000973,639V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,,,4.8281388283,0.004289961,4.5480542183,5.4461503029,6.6959657669,0.0,2.9628505707,0.0131463511,0.0422843173,6.1210899353,0.1686137915,4.7345685959,2.8037085533,6.1479783058,2.7341849804,6.1406373978,0.355953306,7.5085949898,5.5904493332,5.37393713,3.4029390812,0.115922831,3.5834710598,7.4677686691,4.8310308456,4.1405334473,8.0511541367,4.8064994812,5.7875657082,3.1277916431,3.487319231,6.5269374847,5.5808176994,5.3547763824,7.1693339348,4.1671252251,8.0396976471,6.5400505066,4.3814425468,0.0666692555,3.7090480328,0.2209242433,8.4708662033,0.0155032789,5.3263936043,6.1517796516,4.7758302689,3.8627686501,3.3229665756,4.7693910599,4.437420845,6.5854401588,5.3674759865
ACH-001795,94T778,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,,,4.1476078033,0.109496966,4.7632679939,5.4409556389,5.7583670616,0.0916795284,3.2878890038,2.2319116592,0.0296592489,5.3982715607,0.0117947375,3.7041194439,4.8793625832,5.8889746666,3.3691663742,6.4648184776,2.7745046616,8.364068985,6.0047531128,4.9875435829,3.7942287922,0.9296940565,3.0271239281,6.3706383705,4.8386545181,3.5639755726,12.2596874237,11.5818691254,5.2905535698,2.4138026237,5.0915727615,5.9776716232,5.1513147354,4.1702775955,6.2905311584,4.9535770416,7.7668070793,4.889166832,4.940246582,2.4635074139,2.2666397095,0.0306623708,7.4328594208,0.0209594108,4.4938778877,5.5681204796,3.5138571262,3.0044887066,2.8896701336,4.0062980652,4.7555499077,5.250067234,6.1930422783
ACH-001999,9505BIK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,,1.7884184122,0.000608689,2.1666769981,3.8505494595,5.0938982964,0.0184205305,3.1060919762,0.0351720303,0.0132521382,4.0690832138,0.0099161109,3.2156119347,4.4757332802,6.6503410339,5.3310675621,4.0067648888,9.3794717789,6.88667202,6.3332467079,5.1597018242,3.6240541935,7.7062129974,4.5466971397,4.4329462051,5.709274292,2.3189618587,6.8011069298,3.8672442436,5.8760623932,1.0229216814,3.7816324234,4.2620873451,2.8548154831,5.5990142822,5.8977994919,5.4007735252,9.8319959641,2.6783716679,4.4227375984,0.1673900485,2.6725521088,0.0156831034,7.0124793053,0.1356569976,5.1463823318,4.9202456474,3.266261816,1.1311811209,3.3028981686,3.9547173977,3.9490399361,6.3280591965,4.8562088013
ACH-001796,95T1000,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,,,4.5382275581,0.2425817698,4.8660721779,5.5791859627,5.4771265984,0.0468053408,3.5359284878,2.2017874718,0.1155140623,5.423561573,0.0,5.4272069931,3.4129157066,5.1162981987,2.5467610359,5.4721984863,0.906506598,8.148563385,7.2923951149,5.4314422607,2.2253334522,0.0124456733,1.8183802366,7.2520313263,3.6413033009,2.6632626057,13.7783136368,10.0676498413,5.595993042,2.1175787449,4.1759476662,4.9913630486,3.7560946941,3.3186929226,6.1332983971,5.2537736893,6.1594614983,5.1076002121,3.6105110645,2.8294558525,1.6952633858,0.0,7.7536644936,0.0,4.4512639046,5.2100496292,3.4088082314,3.2151303291,2.0754401684,3.5119740963,4.339158535,5.5582551956,5.3897767067
