Cancer,Stage,NumGenes,CellLines,Rows,R2,RMSE,MAE
Breast,A: All 40 genes,40,46,11826,0.7569902826502115,1.3243645244772824,1.024788935402141
Breast,B: Priority subset,14,46,11826,0.7722722696740756,1.2820462053616482,0.9921493126446597
Breast,C: Priority + missing,19,46,11826,0.7747308639239635,1.2751068107796437,0.9841566733481453
Lung/NSCLC,A: All 40 genes,40,66,17087,0.7842578911243971,1.2800238745765107,0.9899897523448924
Lung/NSCLC,B: Priority subset,15,66,17087,0.7892449507148042,1.2651429634804627,0.9779953332668452
Lung/NSCLC,C: Priority + missing,17,66,17087,0.7882340166669091,1.2681736050826429,0.9831621231880483
Colorectal,A: All 40 genes,40,40,10854,0.7562152916753774,1.3174011965157624,1.0225904773665717
Colorectal,B: Priority subset,13,40,10854,0.7622215300866095,1.3010712710745365,1.0188326127979377
Colorectal,C: Priority + missing,14,40,10854,0.7541399380183946,1.322996869875496,1.0376727441152265
Melanoma,A: All 40 genes,40,36,8636,0.7408719768895404,1.3520779421874982,1.0319590926885835
Melanoma,B: Priority subset,14,36,8636,0.744063642553735,1.3437254081037822,1.0257645981247012
Melanoma,C: Priority + missing,15,36,8636,0.7383391038617708,1.3586698841461033,1.0332362861324758
Ovarian,A: All 40 genes,40,27,6444,0.7613388350850938,1.3604245910526223,1.05256213415905
Ovarian,B: Priority subset,14,27,6444,0.7720277461031888,1.3296109775794756,1.0219242747745323
Ovarian,C: Priority + missing,19,27,6444,0.7727406899546052,1.3275302852052016,1.0224837451726152
